,Source,Target,Predicted
0,The first European settlement of the Peninsula was Port Arthur in the early s .,The first European settlement of the Peninsula was Port Arthur in the 1830s .,the dail descendants settlement abolished the spain madison arthur border in the remaining thunderstorms
1,Jeffrey Brian Burton also sometimes referred to as JB is a NASCAR Sprint Cup Series driver .,Jeffrey Brian Burton is a Nascar Sprint Cup series driver .,abi brian tesson well known iowa to darling ruler ruler packaging packaging ice hockey
2,Noyelles l es Vermelles is a commune in the Pas de Calais department in the Nord Pas de Calais region of France .,Noyelles-l ès - Vermelles is a commune . It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,alincthun sahib uf ere ginger commune . in people is found the province in
3,The following table shows the distribution of Romani speakers in Europe according to Bakker et al . .,The following table shows the distribution of Romani speakers in Europe according to Bakker et al. .,the following table shows the designated of tent height in armenia according to tent
4,The name Tardigrada means slow walker and was given by Lazzaro Spallanzani in .,The name Tardigrada means `` slow walker '' and was given by Lazzaro Spallanzani in 1777 .,the name gunnar wire sensitive natha and was given by mohave singin in .
5,Bellignat is a commune in the Ain department in eastern France .,Bellignat is a commune .,lavours calvados calvados goats commune found slovenia in a commune d slovenia . in
6,The Constitution of the German Reich usually known as the Weimar Constitution was the constitution that governed the Weimar Republic .,"The Constitution of the German Reich , usually known as the Weimar Constitution was the constitution that governed the Weimar Republic .",the constitution of the german reich closed known as the weimar constitution was the
7,The marriage was unhappy and childless and she divorced her husband .,"The marriage became unhappy , and she divorced her husband .",the royal gonzague trophy glumov companion and worcester attended her husband husband dorothea prisoner
8,Linda then rapidly intensified .,"It rapidly intensified , becoming a hurricane early September 11 .",brighton varacka redd holiday . . . northwest reached honduras . . . it
9,A match is a consumable tool for lighting a fire in controlled circumstances .,A match is a tool for lighting a fire under controlled circumstances .,a margaret is a tool tool for true a galactica in controlled lancashire .
10,The anticipated work for this class was yard shunting trip work and short distance freight trains .,"The anticipated work for this class was yard shunting , trip work and short distance freight trains .",the dosage enters for rna class was elk obtained employs working and short distance
11,In Eddy Merckx rode himself to the brink of collapse while winning the stage .,"In 1970 , Eddy Merckx rode himself to the brink of collapse but won the stage .",in cska cornelius michalka himself to the mazen part rulers . while the stage
12,Gluck s masterly Iphigenie en Tauride was first produced on May .,Then both composers were asked to write operas about the story Iphigénie en Tauride . Gluck 's opera was first produced on 18 May 1779 .,it morgenthau professor aberlin montigny mark mark second produced by norwegian . michael chosen
13,Harry Firth Bob Jane Ford XL Falcon laps h m . s,Harry Firth / Bob Jane Ford XL Falcon 167 laps / 8h 15m 16.0 s,alberto athletic atlas aberlin officially fba clint italian johansson m . s s jardine
14,When Emperor Ankan died he had no offspring and succession to the throne was received by Ankan s youngest brother . Shortly thereafter Emperor Senka is said to have acceded to the throne .,"When Emperor Ankan died childless , the throne passed to his brother Senka .",edward saxe ankan sons secretary was huge kid and producers architects senka . .
15,The Oprah Winfrey Show is an American syndicated talk show hosted and produced by its namesake Oprah Winfrey and is the highest rated talk show in American television history .,The Oprah Winfrey Show is an American talk show which has Oprah Winfrey as the host .,the oprah winfrey show is an american creator team rock winfrey and is the
16,The House of Bourbon was originally a noble family dating at least from the beginning of the th century when the estate of Bourbon was ruled by a Lord who was a vassal of the King of France .,The House of Bourbon is an important royal house of Europe . Kings from the House of Bourbon ruled France from 1589 - 1792 .,the nazi of saxe shadow was famous economies in ireland . from the last
17,Violet is the eldest child of the Baudelaire orphans .,Violet is the eldest child of the Baudelaire orphans .,pattaya is the legislative fifth of the particle nyala . . of the spanish
18,Gestalt therapy was developed by Fritz Perls Laura Perls and Paul Goodman in the s and s .,"It forms part of what is called humanistic psychology and was co-founded by Fritz Perls , Laura Perls and Paul Goodman in the 1940s-1950s .",it lynn famous by by chativavo gibbsite burundi gibbsite and bavaria and historic commissioners
19,Red and Raw indicates a Raw superstar blue and SD indicates a SmackDown superstar purple and ECW indicates an ECW superstar and white indicates a special guest entrant .,"Red and `` Raw '' indicates a Raw superstar , blue and `` SD '' indicates a SmackDown superstar , purple and `` ECW '' indicates an ECW superstar , and white and `` WWE '' indicates a member of the WWE alumni .",modern and young rhythm b others gender active and malthus winfrey a chance of
20,Optical depth or optical thickness is a measure of transparency and is defined as the negative logarithm of the fraction of radiation that is not scattered or absorbed on a path .,Optical depth is a measure of transparency . It is defined as the fraction of radiation that is scattered or absorbed on a path .,mauricio depth or defined defined of a dipole dipole bear and heavier defined as
21,Auburn may be described as a hair color that is somewhere between brown hair and red hair .,Auburn is a light brown or reddish-brown hair color .,titus grameen straightening trained medio elementary or specified that sugar muroids and flasks is
