,Source,Target,Predicted
0,The Balochistan Forest Dormouse is a species of rodent in the Gliridae family .,The Balochistan Forest Dormouse is a species of rodent in the Gliridae family .,extinct piceno is a bear a small found in the region boisei . <end>
1,According to legend young pilots on kamikaze missions often flew southwest from Japan over the m Mount Kaimon .,"According to legend , young pilots on kamikaze missions many times flew southwest from Japan over the 922 metre Mount Kaimon .",in embassies the dawkins morgenstierne gene on the opening of the dalek and the
2,Iraklis Thessaloniki F .C . or simply Iraklis is a Greek football club from Thessaloniki Macedonia Greece branch of Gymnastic Club Iraklis Thessaloniki .,"Iraklis is a Greek football club which is based in Thessaloniki , the second largest Greek city .",sint bear is also abbreviated if orbits orbits is is located in the portuguese
3,During the eighty years subsequent to the Brugg Night of Murder the population of Brugg was halved and surrounding communities were able to expand their trading areas and markets at the expense of Brugg .,It is the capital of the district of Brugg .,jand pakistan is the territories of the majority of the junction in the panjnad
4,During the melee that follows Musetta and Marcello fall into each other s arms and reconcile .,"As the group sings , Musetta and Marcello fall into each other 's arms .",she told the religions that humans and eleven eleven saying i s other other
5,A line listed may neither serve passengers nor access platforms .,A line listed may neither serve passengers nor access platforms .,the line of the spl seats . <end>
6,On occasion the male den master will also allow a second male into the den the reason for this is unclear .,"Sometimes the male `` Den Master '' will also allow a second male into the den , the reason for this is unclear .",blood of the heart could be will be reliable the sun . <end>
7,Protective boots allow the player to cross dangerously hot or toxic terrain .,Protective boots allow the player to cross dangerously hot or toxic floors .,schismatic or also have an claude soldiers . elementary or orbits orbits . <end>
8,The wave traveled across the Atlantic and organized into a tropical depression off the northern coast of Haiti on September .,"The wave traveled across the Atlantic , and became a tropical depression off the northern coast of Haiti on September 13 .",the hurricane hurricane issued the eyewall and the decades . <end>
9, of houses were damaged or destroyed on Barbuda and nearly half of the houses on Antigua were eradicated by Hurricane Luis as it passed miles to the north .,In Antigua about 50 % of houses were either destroyed of damaged . In Barbuda nearly 70 % of houses were either destroyed of damaged .,the of the hurricane should be said the area the side of the rockies
